date,iso_code,indicator,indicator_code,value
2020-01-01,TSS,Population,SP.POP.TOTL,1136046775.0
2020-01-01,TTO,Population,SP.POP.TOTL,1399491.0
2020-01-01,TUN,Population,SP.POP.TOTL,11818618.0
2020-01-01,TUR,Population,SP.POP.TOTL,84339067.0
2020-01-01,TUV,Population,SP.POP.TOTL,11792.0
2020-01-01,TZA,Population,SP.POP.TOTL,59734213.0
2020-01-01,UGA,Population,SP.POP.TOTL,45741000.0
2020-01-01,UKR,Population,SP.POP.TOTL,44134693.0
2020-01-01,UMC,Population,SP.POP.TOTL,2522438267.0
2020-01-01,URY,Population,SP.POP.TOTL,3473727.0
2020-01-01,USA,Population,SP.POP.TOTL,331501080.0
2020-01-01,UZB,Population,SP.POP.TOTL,34232050.0
2020-01-01,VCT,Population,SP.POP.TOTL,110947.0
2020-01-01,VEN,Population,SP.POP.TOTL,28435943.0
2020-01-01,VGB,Population,SP.POP.TOTL,30237.0
2020-01-01,VIR,Population,SP.POP.TOTL,106290.0
2020-01-01,VNM,Population,SP.POP.TOTL,97338583.0
2020-01-01,VUT,Population,SP.POP.TOTL,307150.0
2020-01-01,WLD,Population,SP.POP.TOTL,7763498647.0
2020-01-01,WSM,Population,SP.POP.TOTL,198410.0
2020-01-01,XKX,Population,SP.POP.TOTL,1790133.0
2020-01-01,YEM,Population,SP.POP.TOTL,29825968.0
2020-01-01,ZAF,Population,SP.POP.TOTL,59308690.0
2020-01-01,ZMB,Population,SP.POP.TOTL,18383956.0
2020-01-01,ZWE,Population,SP.POP.TOTL,14862927.0
